task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action
4	e5/273f40	89f806cb-30ec-4a10-893d-9d6dad5472ac	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (1)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.340	2024-10-16 15:08:38.577	2024-10-16 15:08:48.597	2m 4s	8.7s	harmon-queue	531.6%	0.3%	740 MB	2.1 GB	740 MB	2.2 GB	52 MB	24.6 MB	170	811	0	0	268	11	-	s3://nao-harmon/test-dedup-cc2021/work/e5/273f40579a8871a5dba17eb95a5d02	-	-
22	63/b321c2	ff7d9b1e-0be5-456b-acef-0ba318a2039e	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (10)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.692	2024-10-16 15:08:38.592	2024-10-16 15:08:58.604	2m 14s	14.5s	harmon-queue	685.2%	0.3%	861.7 MB	2.3 GB	861.7 MB	2.3 GB	105 MB	68.6 MB	183	899	0	0	298	25	-	s3://nao-harmon/test-dedup-cc2021/work/63/b321c20afd6ca0faf50ac8770dfc28	-	-
15	4f/a225d9	b34f130d-1bcb-4d2f-a029-04e3c297891c	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (8)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.828	2024-10-16 15:08:38.595	2024-10-16 15:08:58.644	2m 14s	5.3s	harmon-queue	265.9%	0.2%	592.2 MB	4.3 GB	592.6 MB	11.9 GB	19.2 MB	4 MB	27233	13560	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/4f/a225d93610286527aa238f40d276b0	-	-
24	f5/6e78b7	688c8022-e694-456e-a656-64fc6e849960	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (11)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.573	2024-10-16 15:08:38.589	2024-10-16 15:08:58.590	2m 14s	19.6s	harmon-queue	1090.0%	1.8%	1.1 GB	2.4 GB	1.1 GB	2.4 GB	185.6 MB	155.2 MB	203	1239	0	0	248	15	-	s3://nao-harmon/test-dedup-cc2021/work/f5/6e78b7d1bc06368ff66786abda186f	-	-
16	14/03359f	81f94995-3bd8-4f11-9005-4a4806e11595	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (9)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.814	2024-10-16 15:08:38.595	2024-10-16 15:08:58.631	2m 14s	3.3s	harmon-queue	282.2%	0.1%	386.4 MB	4.3 GB	389 MB	11.9 GB	13.2 MB	4 MB	14934	13495	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/14/03359fe53a41a47059847d717d99f8	-	-
19	eb/b7ad4f	ed91a13f-c0c5-45e1-a216-a1af2d0f3fe0	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (9)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.720	2024-10-16 15:08:38.593	2024-10-16 15:08:58.617	2m 14s	2s	harmon-queue	247.1%	0.0%	40 MB	45.7 MB	40.2 MB	46 MB	7.6 MB	2.7 MB	168	741	0	0	73	2	-	s3://nao-harmon/test-dedup-cc2021/work/eb/b7ad4f287b1684aaf649e573291ad8	-	-
5	e5/f68ca1	7e347a55-3bc3-48b1-93c9-8ac04af7f967	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (2)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.346	2024-10-16 15:08:38.578	2024-10-16 15:09:08.614	2m 24s	10.7s	harmon-queue	480.1%	1.2%	714.9 MB	2 GB	714.9 MB	2 GB	68.7 MB	33.2 MB	174	819	0	0	267	28	-	s3://nao-harmon/test-dedup-cc2021/work/e5/f68ca1dc0b013a4fdd8cfba9e99d96	-	-
20	c4/1b69f7	a52725f0-fba5-4dfb-a2b7-1cd60a45f923	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (11)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.653	2024-10-16 15:08:38.590	2024-10-16 15:09:18.661	2m 34s	17.7s	harmon-queue	192.6%	1.4%	866.2 MB	4.1 GB	873 MB	11.9 GB	168.5 MB	3.7 MB	332896	13129	0	2.2 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/c4/1b69f7a01f4a01c9e34c08f6e593a6	-	-
17	3d/e4dc1a	087e0e8b-81bd-440c-9c84-7466b916a99c	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (8)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.752	2024-10-16 15:09:08.626	2024-10-16 15:09:18.705	2m 34s	6.1s	harmon-queue	354.5%	0.2%	394.7 MB	1.7 GB	394.7 MB	1.8 GB	27.7 MB	8.6 MB	169	761	0	0	165	9	-	s3://nao-harmon/test-dedup-cc2021/work/3d/e4dc1a4eae34660764677088081d39	-	-
39	1e/703c4c	d49afc31-0420-462e-b93e-83ca9cac1f75	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (1)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:09.308	2024-10-16 15:09:08.629	2024-10-16 15:09:18.837	1m 10s	3.3s	harmon-queue	278.8%	0.5%	308.6 MB	4.3 GB	308.7 MB	11.9 GB	11.7 MB	3.9 MB	11721	13375	0	2.3 MB	10	2	-	s3://nao-harmon/test-dedup-cc2021/work/1e/703c4cc9216cb09fca0eef6f6dd028	-	-
13	a2/aa8bfc	340d4c0d-78ab-4cd3-9c12-f16f5ea0fef2	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (6)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.876	2024-10-16 15:09:08.628	2024-10-16 15:09:18.753	2m 34s	4.2s	harmon-queue	394.7%	0.8%	479.5 MB	1.7 GB	479.5 MB	1.8 GB	31.3 MB	10.1 MB	169	761	0	0	810	5	-	s3://nao-harmon/test-dedup-cc2021/work/a2/aa8bfc3a646c61b92e48f3efee2645	-	-
12	b6/cda05e	303bb31e-4865-46a8-b1e1-2c3be29a74a8	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (7)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.884	2024-10-16 15:08:38.596	2024-10-16 15:09:18.818	2m 34s	16.9s	harmon-queue	194.0%	0.3%	895.8 MB	4.2 GB	904.8 MB	11.9 GB	144.1 MB	3.7 MB	282961	13147	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/b6/cda05e97a307057eb105cae6b4782e	-	-
38	a1/084067	9aec2194-77ff-4766-ab55-a016f14ec2c1	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (1)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:10.454	2024-10-16 15:09:08.630	2024-10-16 15:09:18.951	1m 8s	102ms	harmon-queue	50.2%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	3 MB	1.9 MB	526	87	0	0	5	1	-	s3://nao-harmon/test-dedup-cc2021/work/a1/0840679ee1bdba981355d8925f0e5d	-	-
42	f8/08232e	ccfc32ac-676c-4969-be9b-0a9ad20b6749	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (2)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:19.025	2024-10-16 15:09:08.630	2024-10-16 15:09:19.051	1m	960ms	harmon-queue	99.1%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	104.8 MB	73.6 MB	7791	2391	0	0	5	1	-	s3://nao-harmon/test-dedup-cc2021/work/f8/08232e6a6fe9735795f09e1a3bd5d7	-	-
43	7e/9ad677	790ff6aa-7c20-4968-b53b-2404f1d70fff	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (3)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:49.090	2024-10-16 15:09:19.080	2024-10-16 15:09:19.105	30s	1.4s	harmon-queue	95.7%	0.0%	5.5 MB	11.5 MB	5.5 MB	11.5 MB	146.1 MB	97.5 MB	10834	3156	0	0	32	3	-	s3://nao-harmon/test-dedup-cc2021/work/7e/9ad6773a679c51001d91352ef02531	-	-
41	3f/9f25ab	3def82de-ed8c-46f7-bb35-838b25f72b24	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (2)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:19.049	2024-10-16 15:09:08.631	2024-10-16 15:09:19.064	1m	6.3s	harmon-queue	239.7%	1.3%	789.2 MB	4.3 GB	789.2 MB	11.9 GB	32.4 MB	4.2 MB	54157	13846	0	2.6 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/3f/9f25aba35951a4bb7d0eb2097cf8f3	-	-
45	f2/a57165	0c04e4cf-8029-40cb-82ba-05d92600d621	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (3)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:49.002	2024-10-16 15:09:08.632	2024-10-16 15:09:19.078	30.1s	6.2s	harmon-queue	260.8%	1.4%	825 MB	4.2 GB	829.3 MB	11.9 GB	44 MB	4.1 MB	78099	13808	0	2.6 MB	10	2	-	s3://nao-harmon/test-dedup-cc2021/work/f2/a57165236ea3621a481bd0c81b597b	-	-
48	8b/6dd4d8	435ad5a9-a8c6-4284-a2d9-ea030dd31270	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (4)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:49.121	2024-10-16 15:09:19.105	2024-10-16 15:09:19.163	30s	933ms	harmon-queue	93.5%	0.0%	1.5 MB	4.3 MB	1.5 MB	4.3 MB	106.6 MB	73.7 MB	7941	2393	0	0	5	1	-	s3://nao-harmon/test-dedup-cc2021/work/8b/6dd4d8d7b1ef6d60d41cdce0d31265	-	-
49	67/fad387	75ee33c7-e482-4ec0-8687-4b55992b3cf5	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (5)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:59.008	2024-10-16 15:09:19.163	2024-10-16 15:09:19.181	20.2s	2.1s	harmon-queue	95.2%	0.0%	5.4 MB	11.5 MB	5.4 MB	11.5 MB	240.6 MB	148.6 MB	17878	4801	0	0	29	1	-	s3://nao-harmon/test-dedup-cc2021/work/67/fad3879e6f95241c2aeeaf03e15ba0	-	-
57	f0/ebd047	9611de6e-7f29-4b2d-93bf-e43e0c7635d5	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (7)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:59.066	2024-10-16 15:09:19.184	2024-10-16 15:09:19.199	20.1s	172ms	harmon-queue	80.0%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	9.6 MB	6.6 MB	997	237	0	0	5	0	-	s3://nao-harmon/test-dedup-cc2021/work/f0/ebd04793270283dba40350ffb042e0	-	-
46	db/fed583	9147b99a-b538-4eae-806e-e4dce958e232	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (4)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:49.061	2024-10-16 15:09:19.079	2024-10-16 15:09:28.651	39.6s	5.3s	harmon-queue	258.9%	1.2%	702.9 MB	4.3 GB	704.9 MB	11.9 GB	33.5 MB	4.2 MB	56497	13826	16 KB	2.4 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/db/fed583de08095e639009ec2f647f6b	-	-
14	45/fb3600	b72d3946-2eee-4173-a655-4b6f4a9ec091	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (7)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.745	2024-10-16 15:09:08.617	2024-10-16 15:09:28.613	2m 44s	18.5s	harmon-queue	1095.0%	0.4%	1.1 GB	2.4 GB	1.1 GB	2.4 GB	165.2 MB	131.9 MB	199	1155	0	0	270	26	-	s3://nao-harmon/test-dedup-cc2021/work/45/fb360062746cc7017a741c715f0d74	-	-
51	0c/e25612	d86e9cf9-6cc3-43a6-9624-50b55670de2c	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (5)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:59.013	2024-10-16 15:09:19.181	2024-10-16 15:09:28.695	29.7s	6.3s	harmon-queue	247.4%	1.4%	839.9 MB	4.3 GB	839.9 MB	11.9 GB	72.7 MB	3.6 MB	136670	12979	0	2.2 MB	10	1	-	s3://nao-harmon/test-dedup-cc2021/work/0c/e25612406874cbe7f79056f7bd4738	-	-
52	58/92499a	f0e310a0-c9c7-4883-8872-b31693385278	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (6)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:59.070	2024-10-16 15:09:08.633	2024-10-16 15:09:28.758	29.7s	17.4s	harmon-queue	200.9%	0.3%	848.5 MB	4.3 GB	855.9 MB	11.9 GB	145.2 MB	3.6 MB	285246	12949	0	2.3 MB	10	1	-	s3://nao-harmon/test-dedup-cc2021/work/58/92499a123b846275d211aed062c647	-	-
55	a4/87369b	818ea548-3570-4926-9244-a53ee201cb1f	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (7)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:08:59.128	2024-10-16 15:09:19.200	2024-10-16 15:09:28.795	29.7s	3.3s	harmon-queue	314.0%	0.1%	348.1 MB	4.3 GB	353.9 MB	11.9 GB	13 MB	3.9 MB	14508	13392	0	2.4 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/a4/87369b20bede9399031eeb8a5f2b8b	-	-
60	57/48c8dd	b87864c6-b491-44b5-814d-0c89eeb46fca	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (8)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:09:08.969	2024-10-16 15:09:38.584	2024-10-16 15:09:38.625	29.7s	1.4s	harmon-queue	101.1%	0.0%	5.4 MB	11.5 MB	5.4 MB	11.5 MB	126.5 MB	80.4 MB	9497	2609	0	0	32	0	-	s3://nao-harmon/test-dedup-cc2021/work/57/48c8dda0cfd0ddf26cf329664ffe2b	-	-
61	6a/3c583b	d149db69-1859-4e66-9921-9ec0a575d9b4	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (9)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:09:19.131	2024-10-16 15:09:38.628	2024-10-16 15:09:38.685	19.6s	444ms	harmon-queue	103.2%	0.0%	1.5 MB	4.3 MB	1.5 MB	4.3 MB	37.6 MB	26.7 MB	2987	883	0	0	5	0	-	s3://nao-harmon/test-dedup-cc2021/work/6a/3c583b0b8eb089745236a9317975e4	-	-
66	72/03881c	a64b85f1-200c-4def-a287-8d022de5c6b6	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (10)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:09:19.287	2024-10-16 15:09:38.686	2024-10-16 15:09:38.720	19.4s	569ms	harmon-queue	103.4%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	40.5 MB	27.2 MB	3218	901	0	0	5	0	-	s3://nao-harmon/test-dedup-cc2021/work/72/03881c45f5ff056e8549d4eedb5073	-	-
53	93/7c6a35	14b0e276-33a2-4363-af98-1c65bed8591b	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET	-	RUN:PROFILE:SUBSET_READS_PAIRED_TARGET (6)	COMPLETED	0	-	wave.seqera.io/wt/24c29a36e239/staphb/seqtk:1.4	1	-	-	4 GB	1	2024-10-16 15:08:59.129	2024-10-16 15:09:19.201	2024-10-16 15:09:48.586	49.5s	32.2s	harmon-queue	120.3%	0.0%	6.9 MB	18.6 MB	6.9 MB	18.6 MB	1.2 GB	1016 MB	68556	108148	0	0	11614	74	-	s3://nao-harmon/test-dedup-cc2021/work/93/7c6a35d22af6dc6dcd8351effc00d6	-	-
59	49/c72410	02c5fc9c-7711-4769-9b15-c25503b242a5	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (8)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:09:08.911	2024-10-16 15:09:38.576	2024-10-16 15:09:48.632	39.7s	5.3s	harmon-queue	237.0%	1.4%	820.6 MB	4.3 GB	824.5 MB	11.9 GB	42.1 MB	4.2 MB	74069	13804	0	2.4 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/49/c72410f33ee0ee707f3e9c507abbcc	-	-
63	c5/4b9c47	6d873ffa-a326-4587-8503-67ad0d3ca7e2	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (9)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:09:19.122	2024-10-16 15:09:38.625	2024-10-16 15:09:48.693	29.6s	5.4s	harmon-queue	274.6%	0.2%	568.7 MB	4.4 GB	588.4 MB	11.9 GB	18.4 MB	3.9 MB	25583	13399	0	2.3 MB	10	3	-	s3://nao-harmon/test-dedup-cc2021/work/c5/4b9c4735df976f17b93798f0f3f825	-	-
64	fc/523d59	ce87f120-8d8b-4f57-8ca0-27b0019aed82	RUN:CLEAN:QC:FASTQC	-	RUN:CLEAN:QC:FASTQC (10)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:09:19.207	2024-10-16 15:09:38.685	2024-10-16 15:09:48.719	29.5s	5.3s	harmon-queue	312.5%	0.2%	494.1 MB	4.5 GB	499.2 MB	11.9 GB	19.9 MB	3.9 MB	28689	13480	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/fc/523d591df170bd107ef9bf36de6b72	-	-
